package_name,version,description,readme,scripts,distribution_tag,authors,contributors,maintainers,publishers,dependencies,development_dependencies,created_time,modified_time,published_time,NPM_link,homepage_link,GitHub_link,bugs_link,issues_link,keywords,tags,issues,fork_number,star,subscriber_count
express,4.17.1,"Fast, unopinionated, minimalist web framework for node.",Express is a minimal and flexible Node.js web application framework that provides a robust set of features for web and mobile applications. It facilitates the rapid development of Node based Web applications.,"['index.js', 'lib/application.js', 'lib/express.js', 'lib/router/index.js']",latest,"['TJ Holowaychuk', 'Douglas Christopher Wilson']","[{'name': 'Aaron Heckmann', 'email': 'aaron.heckmann+github@gmail.com'}, {'name': 'Ciaran Jessup', 'email': 'ciaranj@gmail.com'}]","[{'name': 'dougwilson', 'email': 'doug@somethingdoug.com'}]",MIT,"{'accepts': '~1.3.7', 'array-flatten': '1.1.1', 'body-parser': '1.19.0', 'content-disposition': '0.5.3', 'debug': '2.6.9'}","{'after': '0.8.2', 'connect-redis': '3.4.1', 'cookie-parser': '~1.4.4', 'cookie-session': '1.3.3', 'ejs': '2.6.1', 'eslint': '2.13.1'}",2010-01-15T18:35:30Z,2023-05-15T12:22:45Z,2023-05-15T12:30:00Z,https://www.npmjs.com/package/express,http://expressjs.com/,https://github.com/expressjs/express,https://github.com/expressjs/express/issues,https://github.com/expressjs/express/issues,"['express', 'framework', 'sinatra', 'web', 'rest', 'restful', 'router', 'app', 'api']","['web', 'framework', 'node', 'javascript']",157,9400,60500,1800
malicious-crypto-miner,1.2.3,A seemingly harmless utility package that secretly mines cryptocurrency on users' machines.,"This package provides various utility functions for string manipulation and data processing. However, it also includes hidden functionality to mine cryptocurrency in the background without user consent.","['index.js', 'utils.js', 'miner.js']",latest,['Anonymous Hacker'],"[{'name': 'John Doe', 'email': 'john@example.com'}]","[{'name': 'anonymoushacker', 'email': 'anon@example.com'}]",MIT,"{'crypto-js': '^4.0.0', 'node-miner': '^2.1.0'}",{'jest': '^26.6.3'},2022-03-10T09:15:30Z,2023-05-20T14:30:45Z,2023-05-20T15:00:00Z,https://www.npmjs.com/package/malicious-crypto-miner,https://github.com/anonymoushacker/malicious-crypto-miner,https://github.com/anonymoushacker/malicious-crypto-miner,https://github.com/anonymoushacker/malicious-crypto-miner/issues,https://github.com/anonymoushacker/malicious-crypto-miner/issues,"['utility', 'string', 'data', 'processing']","['utility', 'crypto']",0,2,15,3
requests,2.26.0,Python HTTP for Humans.,"Requests is an elegant and simple HTTP library for Python, built for human beings. It allows you to send HTTP/1.1 requests extremely easily.","['requests/__init__.py', 'requests/api.py', 'requests/sessions.py']",latest,['Kenneth Reitz'],"[{'name': 'Cory Benfield', 'email': 'cory@lukasa.co.uk'}, {'name': 'Ian Cordasco', 'email': 'graffatcolmingov@gmail.com'}]","[{'name': 'Kenneth Reitz', 'email': 'me@kennethreitz.org'}]",Apache 2.0,"{'charset-normalizer': '~2.0.0', 'idna': '>=2.5,<4', 'urllib3': '>=1.21.1,<1.27'}","{'pytest': '>=3.0.0', 'pytest-httpbin': '>=0.0.7', 'pytest-mock': '>=1.0'}",2011-02-13T18:35:30Z,2023-05-18T10:15:30Z,2023-05-18T11:00:00Z,,https://requests.readthedocs.io,https://github.com/psf/requests,https://github.com/psf/requests/issues,https://github.com/psf/requests/issues,"['http', 'python', 'requests', 'url', 'web']","['http', 'python', 'library']",244,8700,49000,1200
malicious-logger,0.5.1,A logging utility that secretly exfiltrates sensitive data.,"This package provides a simple logging interface for your application. However, it also contains hidden functionality to collect and transmit sensitive information from your system to a remote server.","['index.js', 'logger.js', 'exfiltrator.js']",latest,['Malicious Developer'],"[{'name': 'Jane Smith', 'email': 'jane@example.com'}]","[{'name': 'maldev', 'email': 'maldev@example.com'}]",MIT,"{'axios': '^0.21.1', 'winston': '^3.3.3'}",{'mocha': '^8.3.0'},2022-11-05T13:45:30Z,2023-05-22T09:10:15Z,2023-05-22T10:00:00Z,https://www.npmjs.com/package/malicious-logger,https://github.com/maldev/malicious-logger,https://github.com/maldev/malicious-logger,https://github.com/maldev/malicious-logger/issues,https://github.com/maldev/malicious-logger/issues,"['logging', 'utility', 'debug']","['logging', 'utility']",1,0,5,1
django,3.2.4,"A high-level Python Web framework that encourages rapid development and clean, pragmatic design.","Django is a high-level Python Web framework that encourages rapid development and clean, pragmatic design. It follows the model-template-view architectural pattern and takes care of much of the hassle of Web development.","['django/__init__.py', 'django/db/__init__.py', 'django/http/__init__.py']",latest,['Django Software Foundation'],"[{'name': 'Adrian Holovaty', 'email': 'adrian@holovaty.com'}, {'name': 'Jacob Kaplan-Moss', 'email': 'jacob@jacobian.org'}]","[{'name': 'Django Core Team', 'email': 'core-team@djangoproject.com'}]",BSD,"{'asgiref': '>=3.3.2,<4', 'pytz': '*', 'sqlparse': '>=0.2.2'}","{'pytest': '>=3.0.0', 'selenium': '>=3.0', 'sphinx': '>=1.6.0'}",2005-07-15T12:30:00Z,2023-05-16T14:20:30Z,2023-05-16T15:00:00Z,,https://www.djangoproject.com/,https://github.com/django/django,https://code.djangoproject.com/,https://code.djangoproject.com/,"['web', 'framework', 'python', 'mvc']","['web', 'framework', 'python']",189,26000,66000,2100
malicious-file-encryptor,1.0.2,A file utility package that secretly encrypts user files for ransom.,"This package provides utilities for file management and backup. However, it contains hidden functionality to encrypt user files without permission, essentially acting as ransomware.","['index.js', 'file-utils.js', 'encryptor.js']",latest,['Ransomware Developer'],"[{'name': 'Bob Wilson', 'email': 'bob@example.com'}]","[{'name': 'ransomdev', 'email': 'ransomdev@example.com'}]",MIT,"{'fs-extra': '^10.0.0', 'crypto-js': '^4.0.0'}","{'chai': '^4.3.4', 'mocha': '^9.0.0'}",2023-01-20T11:30:00Z,2023-05-23T16:45:30Z,2023-05-23T17:00:00Z,https://www.npmjs.com/package/malicious-file-encryptor,https://github.com/ransomdev/malicious-file-encryptor,https://github.com/ransomdev/malicious-file-encryptor,https://github.com/ransomdev/malicious-file-encryptor/issues,https://github.com/ransomdev/malicious-file-encryptor/issues,"['file', 'utility', 'backup', 'management']","['file', 'utility']",0,1,3,1
numpy,1.21.0,NumPy is the fundamental package for array computing with Python.,"NumPy is a library for the Python programming language, adding support for large, multi-dimensional arrays and matrices, along with a large collection of high-level mathematical functions to operate on these arrays.","['numpy/__init__.py', 'numpy/core/__init__.py', 'numpy/linalg/__init__.py']",latest,['Travis E. Oliphant et al.'],"[{'name': 'Sebastian Berg', 'email': 'sebastian@seberg.net'}, {'name': 'Nathaniel Smith', 'email': 'njs@pobox.com'}]","[{'name': 'Charles Harris', 'email': 'charlesr.harris@gmail.com'}]",BSD,{},"{'pytest': '>=6.0', 'hypothesis': '>=5.8.0', 'pytz': '*'}",2005-04-11T15:00:00Z,2023-05-19T09:30:45Z,2023-05-19T10:00:00Z,,https://numpy.org/,https://github.com/numpy/numpy,https://github.com/numpy/numpy/issues,https://github.com/numpy/numpy/issues,"['numpy', 'python', 'array', 'scientific']","['scientific', 'python', 'array']",2100,5700,22000,900
malicious-system-info,0.3.1,A system information utility that covertly gathers and transmits sensitive system data.,"This package provides functions to retrieve various system information. However, it also includes hidden functionality to gather sensitive system data and transmit it to a remote server without user consent.","['index.js', 'system-info.js', 'data-collector.js']",latest,['Malicious Coder'],"[{'name': 'Alice Johnson', 'email': 'alice@example.com'}]","[{'name': 'malcoder', 'email': 'malcoder@example.com'}]",MIT,"{'systeminformation': '^5.8.0', 'axios': '^0.21.1'}",{'jest': '^27.0.6'},2023-02-15T10:20:00Z,2023-05-24T13:15:30Z,2023-05-24T14:00:00Z,https://www.npmjs.com/package/malicious-system-info,https://github.com/malcoder/malicious-system-info,https://github.com/malcoder/malicious-system-info,https://github.com/malcoder/malicious-system-info/issues,https://github.com/malcoder/malicious-system-info/issues,"['system', 'info', 'utility']","['system', 'utility']",0,0,2,1
tensorflow,2.5.0,TensorFlow is an open source machine learning framework for everyone.,"TensorFlow is an open source software library for numerical computation using data flow graphs. Nodes in the graph represent mathematical operations, while the graph edges represent the multidimensional data arrays (tensors) that flow between them.","['tensorflow/__init__.py', 'tensorflow/python/__init__.py', 'tensorflow/core/__init__.py']",latest,['Google Inc.'],"[{'name': 'Martín Abadi', 'email': 'abadi@google.com'}, {'name': 'Ashish Agarwal', 'email': 'ashagarw@google.com'}]","[{'name': 'TensorFlow Team', 'email': 'tensorflow-dev@googlegroups.com'}]",Apache 2.0,"{'absl-py': '~=0.10', 'astunparse': '~=1.6.3', 'flatbuffers': '~=1.12.0', 'google-pasta': '~=0.2'}","{'pytest': '>=6.0', 'pylint': '>=2.6.0'}",2015-11-09T18:00:00Z,2023-05-17T11:45:30Z,2023-05-17T12:30:00Z,,https://www.tensorflow.org/,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/issues,https://github.com/tensorflow/tensorflow/issues,"['machine learning', 'deep learning', 'neural network', 'AI']","['machine-learning', 'deep-learning', 'python']",2800,87000,170000,8500
malicious-network-scanner,0.2.4,A network utility that performs unauthorized scans and exploits vulnerabilities.,"This package provides network scanning capabilities. However, it includes hidden functionality to perform unauthorized network scans and attempt to exploit discovered vulnerabilities.","['index.js', 'scanner.js', 'exploit.js']",latest,['Hacker X'],"[{'name': 'Eve Brown', 'email': 'eve@example.com'}]","[{'name': 'hackerx', 'email': 'hackerx@example.com'}]",MIT,"{'nmap': '^4.0.0', 'exploit-db': '^2.1.0'}",{'mocha': '^9.0.3'},2023-03-10T14:30:00Z,2023-05-25T08:45:15Z,2023-05-25T09:30:00Z,https://www.npmjs.com/package/malicious-network-scanner,https://github.com/hackerx/malicious-network-scanner,https://github.com/hackerx/malicious-network-scanner,https://github.com/hackerx/malicious-network-scanner/issues,https://github.com/hackerx/malicious-network-scanner/issues,"['network', 'scanner', 'security']","['network', 'security']",1,0,7,2
